# ma sinh vien; ma mon hoc; diem
SV01403;008;4.68
SV00535;018;5.59
SV01067;001;5.58
SV00510;007;9.42
SV01176;003;5.83
SV01710;006;4.26
SV00512;011;7.26
SV01705;007;7.01
SV02115;014;8.10
SV02121;003;9.11
SV01567;004;9.59
SV01067;011;7.37
SV00776;017;4.00
SV00445;006;8.94
SV01352;006;5.82
SV01840;006;5.75
SV00229;006;4.57
SV01658;006;7.98
SV01969;004;7.84
SV00008;010;7.10
SV00528;018;9.24
SV01872;018;4.34
SV01692;008;7.80
SV00948;011;9.24
SV01024;005;9.74
SV01892;007;8.51
SV01117;002;5.56
SV00436;007;9.73
SV00510;008;6.56
SV01795;004;6.06
SV00180;002;5.84
SV00732;011;4.21
SV01742;003;4.96
SV00223;004;9.36
SV02117;003;6.57
SV00664;004;6.96
SV01691;005;8.83
SV00525;006;8.58
SV02103;002;5.34
SV01616;005;7.77
SV00457;004;6.08
SV00878;014;8.34
SV02009;009;7.69
SV01200;015;4.07
SV02014;003;8.01
SV01364;005;7.79
SV00664;005;5.89
SV01535;010;8.50
SV00362;010;6.78
SV00125;014;6.62
SV01611;006;6.31
SV01934;005;7.90
SV01107;005;4.56
SV01883;010;6.37
SV00391;011;9.53
SV01040;017;4.71
SV01313;006;6.61
SV01771;003;5.45
SV00710;007;6.70
SV01132;005;9.87
SV02069;008;9.65
SV01606;006;7.83
SV01169;018;5.51
SV00398;015;4.54
SV01889;002;4.77
SV01601;010;8.60
SV00626;004;5.86
SV01717;002;10.00
SV00566;010;5.32
SV00628;006;8.54
SV00112;003;9.05
SV01372;004;9.02
SV02082;009;9.94
SV00845;015;7.32
SV00371;006;5.27
SV01878;004;9.78
SV00720;002;7.79
SV00784;006;5.45
SV00456;001;7.05
SV01505;014;7.15
SV01244;004;9.00
SV01676;001;9.70
SV00212;013;4.15
SV00816;014;7.32
SV01959;003;8.91
SV01182;016;5.53
SV01999;008;5.87
SV00002;018;9.00
SV01581;003;4.01
SV01658;010;9.74
SV00400;017;7.59
SV00786;004;7.77
SV00166;018;9.38
SV00759;006;6.57
SV01350;017;5.68
SV00871;003;6.08
SV01750;005;6.47
SV02016;005;7.57
SV00410;003;6.57
SV00808;005;5.93
SV01176;016;7.49
SV01226;005;5.27
SV01101;015;6.25
SV01107;002;5.90
SV00369;014;8.59
SV00620;010;4.59
SV00359;014;8.91
SV01382;011;5.06
SV01831;017;5.71
SV02089;001;9.96
SV01595;011;4.61
SV01408;005;5.25
SV01660;017;6.80
SV00608;014;7.88
SV00991;007;7.21
SV01761;011;9.99
SV00525;008;5.80
SV01822;010;8.34
SV00496;005;8.24
SV01959;004;5.87
SV02027;003;4.08
SV00302;003;6.91
SV00019;002;4.54
SV01750;003;9.48
SV01081;014;5.52
SV01085;011;4.69
SV01394;014;5.67
SV01645;015;5.66
SV01759;003;6.50
SV00954;001;6.76
SV00921;001;9.37
SV01093;011;8.96
SV00157;014;8.09
SV02089;010;9.29
SV01868;008;6.21
SV00392;007;8.16
SV01898;004;6.72
SV01298;014;8.90
SV01129;004;7.65
SV01774;018;4.03
SV00556;016;5.53
SV00499;006;6.12
SV01248;015;4.14
SV01020;006;6.65
SV02163;003;4.13
SV00161;008;4.23
SV01567;008;4.83
SV01728;015;8.58
SV00039;017;7.84
SV02093;006;6.90
SV00128;003;8.19
SV01680;009;6.49
SV01063;011;8.47
SV00750;007;8.90
SV01589;008;5.90
SV00104;003;8.48
SV00464;001;7.02
SV01471;010;9.44
SV01410;016;8.47
SV00327;008;6.17
SV00556;018;8.10
SV00285;014;4.55
SV01205;007;4.98
SV00144;001;8.90
SV01856;017;5.71
SV00292;018;4.61
SV01826;008;9.45
SV01061;002;8.78
SV00988;005;5.29
SV01936;005;4.13
SV02123;001;9.10
SV00283;007;9.54
SV01059;017;4.80
SV00992;001;7.09
SV01451;014;4.47
SV01805;007;7.16
SV00732;005;5.40
SV00475;006;4.69
SV01793;010;8.93
SV01738;002;5.27
SV01942;018;6.17
SV01627;002;4.29
SV02003;006;7.29
SV00165;004;6.42
SV00864;006;8.46
SV00143;011;9.20
SV01975;009;8.64
SV01862;004;4.61
SV01373;005;8.64
SV01856;005;4.05
SV01115;013;7.59
SV02002;008;5.43
SV01424;006;8.66
SV01464;007;9.08
SV01531;003;6.61
SV00669;016;4.89
SV00372;016;7.49
SV02151;008;5.99
SV00003;004;8.59
SV01683;011;6.94
SV00372;015;8.97
SV02015;004;8.42
SV00998;004;7.90
SV01545;003;7.48
SV01209;014;5.81
SV01457;008;6.26
SV00126;003;9.35
SV01427;007;6.90
SV01031;005;5.27
SV00744;017;8.97
SV00271;003;4.47
SV01626;003;9.79
SV00513;008;6.16
SV00944;006;5.85
SV01200;018;8.07
SV01791;015;9.52
SV00691;006;9.54
SV01754;006;8.79
SV01571;003;5.43
SV01808;002;7.57
SV02025;003;4.76
SV01907;013;4.73
SV00620;008;7.78
SV00008;008;9.28
SV01602;007;7.84
SV00802;006;4.55
SV01176;013;8.86
SV01970;009;7.37
SV00120;005;6.03
SV00988;015;8.81
SV00134;004;9.19
SV00404;008;4.88
SV01526;011;8.86
SV00142;001;5.33
SV01667;004;6.67
SV01094;016;4.45
SV01669;018;7.55
SV02050;005;7.72
SV01097;005;5.25
SV01840;004;8.23
SV00241;005;9.21
SV00650;011;9.35
SV00321;004;5.14
SV00345;010;8.25
SV00622;016;7.72
SV01611;011;5.84
SV00235;008;6.15
SV00269;007;7.01
SV00992;005;6.12
SV00661;010;9.27
SV00286;016;5.56
SV00131;016;7.31
SV01989;010;6.26
SV00176;014;9.16
SV01773;008;9.72
SV01510;003;8.28
SV01399;001;5.66
SV01726;005;9.84
SV00756;011;8.92
SV00548;015;7.47
SV01621;001;5.83
SV01136;009;4.11
SV01738;005;7.96
SV00371;008;6.95
SV00468;011;8.28
SV01503;003;7.54
SV01721;003;7.50
SV01385;007;7.75
SV01050;001;9.02
SV00005;005;8.99
SV01353;009;4.12
SV01916;003;9.04
SV01269;009;7.20
SV00997;001;8.05
SV01337;014;5.03
SV01382;004;8.60
SV00452;016;6.67
SV02132;005;8.94
SV00560;003;9.14
SV01607;013;5.36
SV01652;009;8.49
SV00244;011;9.62
SV01545;011;9.82
SV00168;007;4.50
SV02084;017;4.89
SV00006;004;6.57
SV02078;018;9.43
SV01104;006;9.13
SV00107;015;7.14
SV01613;009;7.99
SV01236;010;8.71
SV01645;004;6.18
